FM1318orthoCBS1513,Scerevisiae
XP_018220633.1,P47818
XP_018219755.1,P53540
XP_018219393.1,P28006
XP_018219100.1,P29055
XP_018219712.1,P53886
XP_018220561.1,P47977
XP_018219563.1,P46367
XP_018221789.1,Q08387
XP_018219240.1,P38756
XP_018220382.1,Q12198
XP_018221614.1,P10363
XP_018222184.1,P07273
XP_018218983.1,Q03308
XP_018219141.1,Q06506
XP_018221682.1,Q12469
XP_018221028.1,P28496
XP_018222112.1,P52868
XP_018221372.1,P47119
XP_018219170.1,Q06214
XP_018223764.1,P32501
XP_018220237.1,P35187
XP_018221345.1,P47110
XP_018223804.1,Q12504
XP_018224064.1,P39724
XP_018220876.1,P06783
XP_018221760.1,Q92325
XP_018223024.1,Q07376
XP_018224054.1,P39715
XP_018220661.1,Q06567
XP_018219455.1,P14906
XP_018219277.1,P20449
XP_018220715.1,Q06163
XP_018222941.1,Q12142
XP_018223967.1,P36973
XP_018221217.1,P47025
XP_018220259.1,Q03652
XP_018219585.1,P21705
XP_018221788.1,Q12339
XP_018220281.1,Q05024
XP_018220844.1,P28272
XP_018218884.1,P22216
XP_018224080.1,P39732
XP_018223183.1,P38114
XP_018220269.1,Q04991
XP_018219903.1,P50278
XP_018220454.1,Q07953
XP_018219553.1,P38124
XP_018220892.1,P36005
XP_018221715.1,P81451
XP_018222761.1,P40060
XP_018222104.1,P41811
XP_018221275.1,P47049
XP_018220577.1,Q12524
XP_018219220.1,P38744
XP_018219899.1,P53599
XP_018218902.1,P19541
XP_018221769.1,P22517
XP_018222888.1,P32837
XP_018221609.1,P40563
XP_018220236.1,P49095
XP_018220229.1,Q00453
XP_018222612.1,P39985
XP_018223702.1,Q03920
XP_018219792.1,D6W196
XP_018223586.1,P10664
XP_018219361.1,Q12050
XP_018220462.1,P54780
XP_018219727.1,P53898
XP_018219032.1,Q12753
XP_018222291.1,P53251
XP_018223885.1,Q05515
XP_018221511.1,P40481
XP_018223084.1,P38227
XP_018219069.1,Q12181
XP_018222207.1,P16639
XP_018220740.1,Q06144
XP_018219228.1,P38748
XP_018222880.1,Q07629
XP_018219447.1,Q08650
XP_018222332.1,P49090
XP_018220321.1,Q03530
XP_018221002.1,Q86ZR7
XP_018221953.1,P38865
XP_018223503.1,P34224
XP_018221887.1,P38815
XP_018221159.1,P46985
XP_018222607.1,P09232
XP_018220999.1,P32862
XP_018223934.1,Q04178
XP_018219509.1,P0CX24
XP_018222992.1,P38985
XP_018223744.1,Q04005
XP_018222845.1,P40098
XP_018220049.1,P50109
XP_018219977.1,Q04489
XP_018221080.1,P36141
XP_018220347.1,P04046
XP_018223779.1,Q04934
XP_018221892.1,P38819
XP_018223843.1,Q06632
XP_018219351.1,P32913
XP_018223107.1,P27654
XP_018218966.1,Q02767
XP_018221251.1,P40358
XP_018222923.1,Q12680
XP_018220323.1,P48510
XP_018223564.1,P38212
XP_018223310.1,P38150
XP_018221903.1,P38828
XP_018223771.1,Q04924
XP_018219169.1,Q06213
XP_018220689.1,P29029
XP_018218827.1,P41835
XP_018220079.1,Q04359
XP_018223500.1,P28742
XP_018221533.1,P40502
XP_018221616.1,P40568
XP_018222920.1,Q12476
XP_018223293.1,P38342
XP_018220695.1,P39742
XP_018221859.1,P38797
XP_018222287.1,P53248
XP_018221088.1,P0C0V8
XP_018221963.1,P38874
XP_018218838.1,Q08957
XP_018222205.1,P43639
XP_018223930.1,P33298
XP_018221488.1,P40464
XP_018222877.1,Q07651
XP_018222745.1,P40050
XP_018221316.1,P27351
XP_018219991.1,P53759
XP_018223338.1,P25579
XP_018219175.1,Q06616
XP_018222396.1,P00358
XP_018221874.1,P38806
XP_018222306.1,P53256
XP_018219097.1,Q06820
XP_018221815.1,P38766
XP_018223709.1,Q03764
XP_018221499.1,P40472
XP_018219066.1,Q12049
XP_018220681.1,Q06217
XP_018220776.1,Q06709
XP_018219449.1,Q08673
XP_018223665.1,Q03835
XP_018221154.1,P04650
XP_018219871.1,P40693
XP_018219651.1,P53855
XP_018221785.1,Q12149
XP_018223815.1,P04803
XP_018221854.1,Q6Q547
XP_018223079.1,P14180
XP_018222751.1,P40056
XP_018220865.1,P32464
XP_018221689.1,Q12215
XP_018223615.1,P11353
XP_018219661.1,P53860
XP_018223881.1,Q05497
XP_018223108.1,P38084
XP_018219999.1,Q03640
XP_018219387.1,Q12340
XP_018221627.1,P15367
XP_018223827.1,Q05521
XP_018219848.1,P53968
XP_018220101.1,P54000
XP_018224079.1,P28004
XP_018222319.1,P32943
XP_018221278.1,P47052
XP_018219002.1,P46151
XP_018221475.1,P0CH08
XP_018223501.1,P34226
XP_018219783.1,P36019
XP_018220904.1,P33299
XP_018223387.1,P25371
XP_018220190.1,P40209
XP_018219412.1,P06634
XP_018220722.1,Q06170
XP_018223945.1,Q04031
XP_018221522.1,P40491
XP_018223213.1,P38128
XP_018221242.1,P19658
XP_018222935.1,Q12082
XP_018221010.1,P15700
XP_018222002.1,P04807
XP_018222885.1,Q07623
XP_018222060.1,P53099
XP_018219167.1,P10663
XP_018221712.1,P19158
XP_018222582.1,P43618
XP_018220115.1,P26448
XP_018222733.1,P40041
XP_018220493.1,Q12291
XP_018222078.1,P53107
XP_018221575.1,P15790
XP_018222183.1,P25299
XP_018218967.1,Q02770
XP_018224034.1,Q04409
XP_018220208.1,Q03799
XP_018222432.1,P50086
XP_018220944.1,P34247
XP_018219724.1,P53895
XP_018224102.1,P39704
XP_018223491.1,P09436
XP_018219403.1,Q08562
XP_018221567.1,P38626
XP_018219049.1,P48016
XP_018223993.1,P0C2H6
XP_018221795.1,Q08409
XP_018219838.1,P38207
XP_018223132.1,P38254
XP_018219437.1,P38523
XP_018220557.1,Q12208
XP_018220678.1,Q06156
XP_018222841.1,P16387
XP_018222547.1,P27466
XP_018220646.1,Q05998
XP_018224066.1,P39726
XP_018220541.1,P32485
XP_018219689.1,Q01722
XP_018219314.1,Q99252
XP_018223336.1,P25582
XP_018220773.1,Q06706
XP_018222273.1,P53045
XP_018222365.1,P27476
XP_018222465.1,P51601
XP_018223651.1,P32896
XP_018223848.1,Q06640
XP_018223794.1,Q03784
XP_018218875.1,Q12042
XP_018223897.1,Q06337
XP_018224089.1,P31384
XP_018219546.1,Q08822
XP_018220613.1,Q12460
XP_018223538.1,P38205
XP_018219522.1,P51533
XP_018223808.1,P52911
XP_018221924.1,P38845
XP_018223998.1,P06782
XP_018223609.1,P28817
XP_018219221.1,P38745
XP_018220329.1,P22136
XP_018222835.1,P06839
XP_018223575.1,P04397
XP_018219012.1,Q02608
XP_018219855.1,P53973
XP_018221172.1,P08524
XP_018220252.1,Q03694
XP_018223759.1,O13525
XP_018223069.1,P25301
XP_018223182.1,P38115
XP_018222956.1,Q12018
XP_018219502.1,O14468
XP_018220206.1,Q03796
XP_018223481.1,P38110
XP_018220967.1,P36016
XP_018222960.1,Q99385
XP_018222821.1,P39960
XP_018223015.1,Q07418
XP_018223969.1,Q04093
XP_018219500.1,P07258
XP_018223711.1,P47976
XP_018222200.1,P40356
XP_018223075.1,P38074
XP_018223099.1,Q3E790
XP_018221776.1,Q92328
XP_018221229.1,P40955
XP_018221448.1,P47177
XP_018221464.1,P40451
XP_018222938.1,Q12175
XP_018219209.1,P38738
XP_018219494.1,Q08748
XP_018221121.1,P32583
XP_018222605.1,P39923
XP_018219287.1,Q08448
XP_018218989.1,Q03081
XP_018219409.1,P38934
XP_018224010.1,Q03406
XP_018218857.1,Q08923
XP_018220305.1,Q03496
XP_018220272.1,P32829
XP_018222959.1,Q07555
XP_018219098.1,Q06821
XP_018220675.1,P22214
XP_018219501.1,Q08773
XP_018222970.1,P52891
XP_018221612.1,P32521
XP_018220632.1,Q05812
XP_018223313.1,P38355
XP_018220349.1,P32843
XP_018221031.1,P38754
XP_018219201.1,P38732
XP_018222905.1,P11076
XP_018221904.1,P38829
XP_018219182.1,P54999
XP_018219769.1,P53929
XP_018223196.1,P38289
XP_018223406.1,P25356
XP_018220655.1,Q06551
XP_018220240.1,P36525
XP_018221285.1,P47056
XP_018220183.1,Q04217
XP_018222900.1,P38988
XP_018223653.1,P38961
XP_018223693.1,P32599
XP_018219775.1,P50944
XP_018223294.1,P38344
XP_018219055.1,Q12038
XP_018219922.1,P53743
XP_018220526.1,P13186
XP_018223405.1,P06367
XP_018222361.1,P32582
XP_018221014.1,P20484
XP_018220759.1,Q05931
XP_018219400.1,P02992
XP_018223739.1,Q03983
XP_018222742.1,P0CX31
XP_018221881.1,P38811
XP_018219332.1,Q12453
XP_018223725.1,Q12030
XP_018223864.1,P38986
XP_018222101.1,P53120
XP_018222402.1,P46951
XP_018222617.1,P32611
XP_018221344.1,P46673
XP_018223005.1,Q07468
XP_018222096.1,P33891
XP_018219030.1,Q12031
XP_018219595.1,P48559
XP_018222301.1,P53254
XP_018219645.1,Q01080
XP_018223977.1,Q04120
XP_018220333.1,P20084
XP_018222527.1,P43582
XP_018222115.1,P53128
XP_018222020.1,P53073
XP_018220810.1,Q06412
XP_018221373.1,P47120
XP_018222604.1,P04817
XP_018218981.1,Q03067
XP_018222953.1,Q12434
XP_018221757.1,Q08182
XP_018223164.1,P38271
XP_018223081.1,P38224
XP_018221157.1,P46983
XP_018223465.1,P38163
XP_018221723.1,P33895
XP_018223361.1,P25389
XP_018223970.1,Q04110
XP_018221849.1,P38791
XP_018220745.1,P06168
XP_018219472.1,Q12024
XP_018220146.1,P40341
XP_018222145.1,P53148
XP_018222360.1,P48238
XP_018220804.1,Q06698
XP_018219276.1,P33448
XP_018221976.1,Q3E7Y6
XP_018221928.1,P38848
XP_018219022.1,Q12059
XP_018224075.1,P39730
XP_018221233.1,Q01389
XP_018222714.1,P39101
XP_018222697.1,P40020
XP_018223624.1,Q12355
XP_018224061.1,P39721
XP_018223905.1,P33301
XP_018221895.1,P38821
XP_018223589.1,Q08991
XP_018218921.1,Q02961
XP_018223401.1,P25353
XP_018222734.1,P28240
XP_018221127.1,P36026
XP_018223866.1,P81449
XP_018219849.1,P53969
XP_018222411.1,P42940
XP_018220076.1,Q04347
XP_018223354.1,P25368
XP_018222919.1,Q12027
XP_018219230.1,P38750
XP_018222492.1,P43554
XP_018218949.1,P48582
XP_018221376.1,P47124
XP_018221060.1,P36121
XP_018222470.1,P53329
XP_018219053.1,Q12734
XP_018223309.1,P38353
XP_018222282.1,P53246
XP_018218962.1,Q12051
XP_018223802.1,Q12508
XP_018223226.1,P12709
XP_018223547.1,P32786
XP_018223795.1,Q03785
XP_018223533.1,P38202
XP_018223061.1,Q12124
XP_018219828.1,Q10740
XP_018220986.1,O60200
XP_018219536.1,P52489
XP_018220717.1,Q06164
XP_018220033.1,Q03707
XP_018223220.1,O13516
XP_018219109.1,Q06090
XP_018221388.1,P24814
XP_018222246.1,P28737
XP_018220758.1,Q05930
XP_018219541.1,P24719
XP_018223468.1,P38165
XP_018222769.1,P39945
XP_018220225.1,Q03219
XP_018223984.1,Q2V2P7
XP_018222999.1,Q07500
XP_018220599.1,P09959
XP_018221809.1,P17423
XP_018221965.1,P38876
XP_018219149.1,Q2V2P0
XP_018221690.1,Q12366
XP_018222536.1,P43586
XP_018220235.1,Q03246
XP_018222530.1,P43583
XP_018219114.1,Q06098
XP_018223974.1,P0CX56
XP_018221062.1,P36122
XP_018220909.1,P34163
XP_018219907.1,P53733
XP_018220492.1,P05749
XP_018219615.1,P53834
XP_018219917.1,P53740
XP_018223954.1,Q04053
XP_018220012.1,Q04958
XP_018219371.1,Q99312
XP_018219976.1,P54787
XP_018218963.1,Q02749
XP_018219632.1,P50874
XP_018221239.1,P46954
XP_018222626.1,P32623
XP_018223216.1,P38300
XP_018222512.1,P43570
XP_018220654.1,Q06549
XP_018222278.1,P53242
XP_018221067.1,P26343
XP_018222550.1,P43594
XP_018219453.1,Q08687
XP_018220464.1,P32849
XP_018223937.1,P21623
XP_018222827.1,P14736
XP_018221969.1,P38879
XP_018219482.1,Q12134
XP_018221432.1,P47167
XP_018219865.1,P53983
XP_018221237.1,P47026
XP_018223228.1,P38129
XP_018222134.1,P53142
XP_018221563.1,P40528
XP_018222142.1,P53147
XP_018220444.1,Q07927
XP_018219975.1,P11747
XP_018219749.1,P53914
XP_018222892.1,Q12424
XP_018218947.1,Q02908
XP_018223499.1,P34227
XP_018221790.1,Q12094
XP_018220522.1,Q12325
XP_018219533.1,P33122
XP_018219145.1,P17119
XP_018221139.1,P07252
XP_018220881.1,P36049
XP_018221385.1,P18852
XP_018222658.1,P39953
XP_018221781.1,P22579
XP_018222001.1,P32805
XP_018222657.1,P40002
XP_018220651.1,Q06541
XP_018223580.1,P38072
XP_018221651.1,Q12462
XP_018219759.1,P53921
XP_018220430.1,P54790
XP_018219258.1,P53687
XP_018220484.1,Q12026
XP_018220770.1,Q12748
XP_018221541.1,P32565
XP_018222342.1,P53280
XP_018220519.1,P52893
XP_018222160.1,P53159
XP_018223938.1,P34087
XP_018220597.1,P10659
XP_018222263.1,P53044
XP_018222967.1,Q07540
XP_018219442.1,Q08634
XP_018220505.1,P41805
XP_018221765.1,P38967
XP_018222557.1,P43602
XP_018221299.1,P47069
XP_018220955.1,P36076
XP_018218993.1,Q03085
XP_018219858.1,P53963
XP_018220300.1,Q04835
XP_018222608.1,Q05676
XP_018220552.1,Q12440
XP_018218972.1,Q02785
XP_018219786.1,P06781
XP_018223209.1,P38295
XP_018219135.1,Q06504
XP_018218862.1,Q08919
XP_018222004.1,P53060
XP_018219264.1,Q12398
XP_018219880.1,P53718
XP_018223395.1,P23059
XP_018220619.1,P32339
XP_018220820.1,P07991
XP_018218888.1,Q12380
XP_018219839.1,P38208
XP_018223250.1,P38137
XP_018222824.1,P40095
XP_018223165.1,P38272
XP_018222647.1,P39996
XP_018221339.1,P40352
XP_018223277.1,P33757
XP_018220319.1,Q03529
XP_018220840.1,P40586
XP_018222583.1,P43619
XP_018223346.1,P17709
XP_018220605.1,Q06321
XP_018221315.1,P20840
XP_018220809.1,Q06411
XP_018221397.1,P47139
XP_018219936.1,P47180
XP_018219127.1,P24869
XP_018219099.1,Q06822
XP_018222642.1,P32775
XP_018222189.1,P53184
XP_018223225.1,P13712
XP_018220710.1,P04821
XP_018220856.1,P36044
XP_018218887.1,Q12152
XP_018222800.1,P40081
XP_018224084.1,P39524
XP_018220573.1,P43321
XP_018221467.1,P40453
XP_018223717.1,P46674
XP_018221596.1,Q03096
XP_018223859.1,Q06674
XP_018221705.1,Q99316
XP_018220037.1,Q03714
XP_018219365.1,Q04174
XP_018221291.1,P40958
XP_018220567.1,Q12429
XP_018222085.1,P38622
XP_018223390.1,P25616
XP_018223906.1,Q06349
XP_018219504.1,Q08777
XP_018220099.1,P33748
XP_018223640.1,Q12447
XP_018223570.1,P38068
XP_018220589.1,P32469
XP_018221513.1,P40483
XP_018223627.1,P54857
XP_018219425.1,P38630
XP_018218751.1,P43544
XP_018220088.1,Q04370
XP_018219111.1,P30656
XP_018219940.1,Q06595
XP_018221777.1,Q08058
XP_018218922.1,Q02969
XP_018221311.1,P41543
XP_018220144.1,Q04299
XP_018222422.1,P30822
XP_018220350.1,P00331
XP_018222528.1,P07834
XP_018222388.1,P22289
XP_018223865.1,Q06678
XP_018220182.1,P40963
XP_018222810.1,P39944
XP_018219697.1,P53872
XP_018220089.1,Q04371
XP_018220132.1,Q04772
XP_018219687.1,P40164
XP_018220625.1,Q05789
XP_018223105.1,P38241
XP_018220968.1,P36085
XP_018223560.1,P35172
XP_018221957.1,P38869
XP_018224004.1,P27809
XP_018221947.1,P38860
XP_018219706.1,P53879
XP_018223996.1,Q03361
XP_018221631.1,Q02256
XP_018223753.1,Q03941
XP_018220800.1,Q06689
XP_018223548.1,P32785
XP_018223345.1,P17967
XP_018222659.1,P40003
XP_018220212.1,Q03824
XP_018223568.1,P61830
XP_018224108.1,Q05359
XP_018223847.1,P49775
XP_018220284.1,Q05027
XP_018223857.1,Q06667
XP_018222081.1,P53032
XP_018220039.1,P34161
XP_018221084.1,P23501
XP_018220912.1,P14063
XP_018221659.1,P07260
XP_018222896.1,P36521
XP_018220691.1,Q02574
XP_018221216.1,A0A0B7P3V8
XP_018223553.1,P32790
XP_018219794.1,P53937
XP_018224068.1,P39727
XP_018221307.1,P46962
XP_018222741.1,P40047
XP_018223920.1,Q12359
XP_018221588.1,P40546
XP_018219062.1,Q12199
XP_018219107.1,Q06839
XP_018220215.1,P38920
XP_018222302.1,P49704
XP_018219989.1,P81450
XP_018220449.1,Q07938
XP_018219949.1,Q12746
XP_018220569.1,Q12168
XP_018221850.1,P38792
XP_018220119.1,P50110
XP_018221191.1,P47008
XP_018221264.1,P47040
XP_018221840.1,P38783
XP_018219431.1,Q12056
XP_018221148.1,P39540
XP_018218974.1,Q02796
XP_018219246.1,P00447
XP_018219995.1,P12683
XP_018219471.1,Q12029
XP_018223572.1,P38216
XP_018221300.1,P47072
XP_018223231.1,P38307
XP_018219718.1,P53892
XP_018223594.1,P48015
XP_018223789.1,Q03780
XP_018221170.1,P46993
XP_018218817.1,Q08970
XP_018222991.1,P52867
XP_018219000.1,Q12505
XP_018220105.1,P11746
XP_018223682.1,Q04602
XP_018222063.1,P53102
XP_018219931.1,P53747
XP_018222641.1,P39993
XP_018221246.1,P06105
XP_018221419.1,P00830
XP_018219104.1,Q06834
XP_018223704.1,P39108
XP_018221724.1,P53685
XP_018219078.1,P32178
XP_018221767.1,Q08144
XP_018220433.1,P54861
XP_018219131.1,Q06493
XP_018221838.1,P23285
XP_018219285.1,Q08446
XP_018220792.1,Q06063
XP_018222250.1,P53220
XP_018223090.1,P21538
XP_018221949.1,P38861
XP_018220940.1,P14742
XP_018222163.1,P27999
XP_018220649.1,P22543
XP_018222452.1,Q03330
XP_018223112.1,P15992
XP_018220984.1,P35731
XP_018222022.1,P53036
XP_018221752.1,Q08204
XP_018219390.1,Q08548
XP_018219670.1,P80210
XP_018223943.1,P32584
XP_018221657.1,Q08282
XP_018221583.1,P40543
XP_018223760.1,Q03455
XP_018223352.1,P25566
XP_018218805.1,Q12003
XP_018220391.1,Q12473
XP_018219897.1,P53729
XP_018222706.1,P40028
XP_018223679.1,Q04599
XP_018222187.1,P53183
XP_018220893.1,P36053
XP_018218984.1,P37838
XP_018221801.1,P38760
XP_018223027.1,P33399
XP_018219662.1,P53861
XP_018221065.1,P36125
XP_018221280.1,P47053
XP_018221027.1,P33201
XP_018222660.1,P40004
XP_018224107.1,P39705
XP_018219270.1,P32480
XP_018223176.1,P38112
XP_018220899.1,P36059
XP_018223194.1,P38288
XP_018222475.1,P53334
XP_018219723.1,P38616
XP_018219744.1,P27929
XP_018220488.1,Q12205
XP_018223037.1,P12945
XP_018221536.1,P40507
XP_018223752.1,P42073
XP_018221082.1,P36142
XP_018220507.1,P25385
XP_018222481.1,P32527
XP_018219578.1,P17260
XP_018220094.1,Q05080
XP_018220778.1,Q06010
XP_018220554.1,Q12220
XP_018220457.1,P39929
XP_018223472.1,P38169
XP_018223022.1,P39678
XP_018223819.1,Q05611
XP_018219952.1,Q00582
XP_018222107.1,P53124
XP_018221182.1,P47002
XP_018220207.1,Q03798
XP_018221112.1,P36162
XP_018220248.1,Q03691
XP_018223551.1,P32789
XP_018220331.1,P32807
XP_018220574.1,P27801
XP_018219606.1,P38629
XP_018222964.1,Q07549
XP_018223770.1,Q04922
XP_018220199.1,P40219
XP_018219696.1,P53871
XP_018222575.1,P43611
XP_018221213.1,P46956
XP_018221003.1,P36097
XP_018222138.1,P53145
XP_018218815.1,Q08972
XP_018221198.1,P47011
XP_018223011.1,Q07442
XP_018223040.1,Q12389
XP_018223816.1,P38995
XP_018221643.1,P40582
XP_018223083.1,P38226
XP_018222781.1,P39969
XP_018222816.1,P40092
XP_018221818.1,P38768
XP_018219656.1,P53584
XP_018220214.1,Q03829
XP_018222264.1,P32564
XP_018223019.1,Q12223
XP_018219569.1,P25346
XP_018219444.1,Q08646
XP_018221487.1,P40463
XP_018223238.1,P32528
XP_018221837.1,P38781
XP_018219189.1,P17883
XP_018223206.1,P38293
XP_018221075.1,P36136
XP_018222548.1,P43596
XP_018222928.1,Q12055
XP_018220743.1,P41698
XP_018218976.1,P54070
XP_018222795.1,P38990
XP_018219342.1,P38439
XP_018222204.1,P53192
XP_018221882.1,P38812
XP_018222540.1,P43589
XP_018219787.1,P06786
XP_018222809.1,P40087
XP_018222014.1,P53068
XP_018221730.1,Q99186
XP_018219476.1,P12962
XP_018223353.1,P25344
XP_018219225.1,P38747
XP_018220210.1,P48353
XP_018223505.1,P34222
XP_018223886.1,P10662
XP_018219239.1,P38702
XP_018222623.1,P32618
XP_018221987.1,P25611
XP_018218930.1,Q02883
XP_018221632.1,P32375
XP_018221083.1,P23500
XP_018223039.1,Q12361
XP_018221320.1,P47085
XP_018221087.1,P33753
XP_018221340.1,P40985
XP_018222335.1,P53275
XP_018220600.1,Q06266
XP_018222679.1,P0CE85
XP_018221486.1,P16547
XP_018220988.1,P35735
XP_018220187.1,P40206
XP_018223270.1,P07286
XP_018224039.1,Q04412
XP_018220197.1,P40217
XP_018220441.1,Q07915
XP_018222284.1,Q02260
XP_018223721.1,Q03772
XP_018220980.1,P35728
XP_018219172.1,Q06604
XP_018224037.1,P08459
XP_018219418.1,P22139
XP_018219579.1,P42839
XP_018220748.1,Q05911
XP_018220503.1,Q08003
XP_018220676.1,Q06151
XP_018221417.1,P47155
XP_018223158.1,P36531
XP_018222305.1,P07806
XP_018222425.1,P10834
XP_018223781.1,P09950
XP_018219992.1,Q03629
XP_018223762.1,P39001
XP_018220313.1,P28239
XP_018219312.1,Q12511
XP_018223749.1,Q03940
XP_018218830.1,Q08962
XP_018220270.1,Q05015
XP_018220137.1,P49956
XP_018220645.1,P13099
XP_018222942.1,Q99207
XP_018220979.1,P14540
XP_018219835.1,P46678
XP_018223306.1,P38352
XP_018219181.1,P15303
XP_018219935.1,P53755
XP_018222235.1,P32334
XP_018220058.1,P25087
XP_018221905.1,P38830
XP_018221899.1,P38825
XP_018219037.1,Q12145
XP_018223198.1,P38290
XP_018223210.1,P38297
XP_018221579.1,P40318
XP_018222902.1,P38968
XP_018221885.1,P38814
XP_018221241.1,P09880
XP_018222720.1,P40035
XP_018220721.1,P49167
XP_018219826.1,P53955
XP_018219162.1,P23293
XP_018220927.1,P32332
XP_018221664.1,Q08273
XP_018222435.1,P50087
XP_018223600.1,Q12457
XP_018219187.1,P20435
XP_018219275.1,Q08416
XP_018223660.1,Q03193
XP_018221871.1,P38804
XP_018222110.1,Q01159
XP_018223692.1,Q03897
XP_018220258.1,Q03649
XP_018219507.1,Q12499
XP_018221891.1,P38818
XP_018221167.1,P26755
XP_018218752.1,P43545
XP_018221356.1,P47114
XP_018222037.1,P32912
XP_018223111.1,P38243
XP_018222025.1,P53077
XP_018222409.1,P42938
XP_018221798.1,Q12450
XP_018220943.1,P34248
XP_018218850.1,Q08929
XP_018223822.1,Q05635
XP_018221915.1,P23291
XP_018220123.1,P32493
XP_018223331.1,Q2V2Q1
XP_018223170.1,P38111
XP_018220399.1,Q07878
XP_018220000.1,Q04632
XP_018220140.1,P32488
XP_018219303.1,P40962
XP_018220535.1,Q12019
XP_018219292.1,P14126
XP_018224007.1,Q03390
XP_018224023.1,Q04396
XP_018222084.1,P53110
XP_018222758.1,P39966
XP_018220950.1,P23493
XP_018222017.1,P53070
XP_018223980.1,Q03280
XP_018220956.1,Q00873
XP_018223656.1,P35179
XP_018221469.1,P32351
XP_018222082.1,P53108
XP_018222209.1,P33199
XP_018221908.1,P18562
XP_018221773.1,Q12692
XP_018223496.1,P38063
XP_018221208.1,P47016
XP_018219850.1,P47821
XP_018219458.1,P06704
XP_018224104.1,P32471
XP_018221175.1,P06244
XP_018219193.1,Q06592
XP_018223537.1,P38204
XP_018220467.1,Q07980
XP_018219525.1,P22203
XP_018221878.1,P38695
XP_018220051.1,Q04226
XP_018219913.1,P32323
XP_018220172.1,Q04477
XP_018222572.1,P14724
XP_018220911.1,P69852
XP_018222826.1,P06843
XP_018219532.1,Q12182
XP_018221825.1,P34162
XP_018223860.1,Q06675
XP_018222154.1,P53155
XP_018221169.1,P46992
XP_018219844.1,P53965
XP_018220643.1,Q05979
XP_018223072.1,P00912
XP_018220562.1,Q12367
XP_018222065.1,P53104
XP_018223016.1,Q07395
XP_018220416.1,Q3E731
XP_018220001.1,P54838
XP_018219776.1,P50945
XP_018220448.1,Q07930
XP_018218896.1,P32491
XP_018219280.1,Q08417
XP_018223607.1,P40971
XP_018220245.1,Q04338
XP_018222118.1,P32505
XP_018219517.1,Q12502
XP_018222239.1,P17649
XP_018220964.1,P36081
XP_018218996.1,Q02648
XP_018223274.1,P38333
XP_018220141.1,P07246
XP_018222019.1,P22224
XP_018219948.1,P54839
XP_018221381.1,P47128
XP_018222936.1,Q12510
XP_018224111.1,P39707
XP_018220159.1,Q03177
XP_018220139.1,P30771
XP_018223199.1,P20049
XP_018219251.1,P23624
XP_018221814.1,Q00772
XP_018221205.1,P08018
XP_018222724.1,P17064
XP_018222653.1,P03962
XP_018220093.1,Q05050
XP_018220154.1,Q03151
XP_018220754.1,Q3E747
XP_018221479.1,P40460
XP_018220521.1,Q12393
XP_018223549.1,P32784
XP_018220637.1,Q05947
XP_018219186.1,P39933
XP_018223706.1,P53379
XP_018223318.1,P38358
XP_018221770.1,Q08118
XP_018221330.1,P41903
XP_018221174.1,P38970
XP_018223644.1,P32345
XP_018223821.1,P35198
XP_018221661.1,Q08280
XP_018220939.1,P34250
XP_018221442.1,P32787
XP_018219260.1,P15705
XP_018223968.1,P38931
XP_018221105.1,P36156
XP_018219927.1,P53630
XP_018223994.1,Q03337
XP_018220357.1,P32497
XP_018223722.1,P30619
XP_018222627.1,P00045
XP_018223384.1,P25333
XP_018219765.1,P53925
XP_018223510.1,P32602
XP_018221288.1,P16474
XP_018219653.1,P23503
XP_018220277.1,Q05022
XP_018221485.1,P40462
XP_018223960.1,Q04080
XP_018222507.1,P43565
XP_018222245.1,Q3E792
XP_018223372.1,P25604
XP_018222995.1,Q05166
XP_018221445.1,P47176
XP_018223883.1,Q05506
XP_018220162.1,Q04437
XP_018219028.1,Q12480
XP_018224096.1,P31377
XP_018223208.1,P38122
XP_018221831.1,P38776
XP_018223632.1,Q12156
XP_018221005.1,P36013
XP_018224056.1,P39717
XP_018220354.1,Q04952
XP_018220928.1,P32341
XP_018219484.1,Q08742
XP_018219926.1,P53744
XP_018219327.1,Q99188
XP_018223115.1,P38246
XP_018220819.1,O13577
XP_018222708.1,P39954
XP_018220763.1,Q05934
XP_018219337.1,P33297
XP_018223734.1,Q03976
XP_018223140.1,P38087
XP_018221140.1,P08466
XP_018219862.1,P53980
XP_018220811.1,Q06436
XP_018219813.1,P41814
XP_018221369.1,P35169
XP_018223350.1,P25373
XP_018222836.1,P32639
XP_018219273.1,Q08412
XP_018223809.1,Q12331
XP_018220620.1,Q05785
XP_018219454.1,Q08689
XP_018221375.1,P05375
XP_018221595.1,P40553
XP_018223893.1,P07285
XP_018220075.1,P20048
XP_018219819.1,P53950
XP_018221530.1,P40499
XP_018223658.1,Q02775
XP_018220217.1,P54114
XP_018220768.1,P32915
XP_018220393.1,Q07887
XP_018219355.1,Q12212
XP_018221526.1,P40495
XP_018221361.1,Q00381
XP_018223504.1,P34223
XP_018221649.1,Q12517
XP_018222968.1,Q07534
XP_018223398.1,P25351
XP_018222703.1,P40026
XP_018223617.1,P41815
XP_018222711.1,P39970
XP_018220727.1,P36027
XP_018222418.1,P32905
XP_018220916.1,P36066
XP_018221655.1,P50861
XP_018222972.1,Q07530
XP_018222180.1,Q01939
XP_018221337.1,P47104
XP_018221955.1,P38699
XP_018221236.1,P12954
XP_018218985.1,P39073
XP_018220849.1,P22515
XP_018221120.1,P36167
